Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
109,E1c1425B40a52bD,Rivas-Martinez,https://www.gonzales.com/,Tuvalu,Self-enabling even-keeled hub,2008,Music,327
110,E799C0EeDfdBfcb,"Banks, Mclean and Perry",https://kirby.com/,Liechtenstein,Persistent coherent installation,2001,Sporting Goods,3956
111,7AB9Ce58DC01e75,"Harvey, Hayes and Moore",http://williamson-miller.com/,Costa Rica,Reduced discrete product,2005,Photography,7464
113,65A7d73Df8f104E,Knapp LLC,http://chandler-moses.com/,Serbia,Mandatory dedicated intranet,2018,Defense / Space,1108
117,7bd368a51Cd69bB,Ramsey Ltd,http://harrison-manning.com/,Northern Mariana Islands,Fully-configurable methodical product,2001,Market Research,7752
119,811F32e95eAA01a,Wiggins Inc,https://dougherty.biz/,South Georgia and the South Sandwich Islands,Right-sized explicit utilization,2005,Legislative Office,6703
123,8568B93d4eCe7b3,Sosa-Burton,http://www.ashley-mckay.com/,Martinique,Polarized bandwidth-monitored open architecture,2012,Nanotechnology,7638
125,Fb6CFE03c1AFfD0,Schneider Ltd,https://savage-mann.com/,Kenya,Secured optimizing instruction set,2010,Library,2601
127,301aE5bffc651bF,Lindsey Group,http://www.hoffman.com/,United States Virgin Islands,Devolved asymmetric process improvement,2014,Medical Equipment,4221
128,F2B09AD72Fc6Fe0,Macias PLC,http://bartlett.com/,Saint Vincent and the Grenadines,Distributed bandwidth-monitored collaboration,2005,Museums / Institutions,629
133,0aD44EFabF3fced,Espinoza Group,https://www.small.com/,Poland,Polarized interactive capability,2018,Hospitality,1984
134,ad7abD76b627EA9,Beasley-Friedman,http://www.mccann-rubio.com/,Lebanon,Multi-tiered demand-driven time-frame,2007,Performing Arts,8691
135,B7A6A95Db9dAD82,"Rojas, Owen and Castaneda",https://melendez.com/,Macedonia,Up-sized next generation toolset,2017,Construction,9575
136,E28CeE0c73B74DB,Bass Inc,http://perry.com/,Indonesia,Focused hybrid throughput,2011,Investment Management / Hedge Fund / Private Equity,8245
139,edD0DdAD1FeB6Ad,Morales-Schmitt,https://www.kerr-patterson.com/,Benin,Virtual encompassing infrastructure,2014,Professional Training,2919
145,91cD7feaED0082C,"Pennington, Meadows and Lowe",https://www.mendez.com/,Saint Lucia,Vision-oriented fault-tolerant collaboration,2003,Religious Institutions,6468
146,efdDfd4C048B4DC,Levy-Olsen,https://www.stuart.com/,Equatorial Guinea,Implemented impactful migration,2004,Music,8074
148,77Ad6aD09988Fff,Crawford-Sims,https://www.blackburn-hale.biz/,Sri Lanka,Front-line actuating system engine,2005,Motion Pictures / Film,8106
150,4D196aF8Fca6af1,Riley-Potts,https://www.costa.com/,Japan,Self-enabling tangible emulation,2012,Furniture,4100
154,E36dB49134Da97E,Flynn Ltd,http://nelson-mullins.com/,Afghanistan,Advanced neutral matrix,2018,Electrical / Electronic Manufacturing,2424
156,b50Fb2c61C0D9B4,Tucker and Sons,https://kemp.net/,Jamaica,Realigned scalable utilization,2017,Real Estate / Mortgage,3711
159,4CcB80FbdFf3a87,Schneider-Morton,https://snow.com/,Portugal,Implemented 6thgeneration installation,2016,Staffing / Recruiting,3342
161,AE0Bf0b605bC524,Carlson-Cameron,https://berg.com/,Bouvet Island (Bouvetoya),Customizable next generation contingency,2021,Utilities,8762
167,b4fa4Ae45F4AF4c,Perry PLC,https://gentry-cobb.biz/,Kenya,User-centric methodical artificial intelligence,2015,Marketing / Advertising / Sales,6599
170,5A735d9831CEe94,Mayo and Sons,http://chen.com/,Mexico,Up-sized holistic neural-net,2014,Aviation / Aerospace,6499
171,AA4E2b54d9Ca6b2,Bernard Group,http://www.dyer.com/,Cook Islands,Persevering interactive workforce,2015,Performing Arts,5709
172,ea40Edf5afdbC27,Arias-Wallace,https://www.briggs.com/,Morocco,Digitized object-oriented throughput,2010,Consumer Goods,1970
173,c3dBece4f4AeB3b,Williamson LLC,https://hall.biz/,Congo,Fully-configurable client-server groupware,2007,Internet,9166
175,6f1d2FecF7cb890,"Marsh, Hubbard and Benjamin",https://robinson.info/,Lao People's Democratic Republic,Operative dedicated secured line,2011,Market Research,2859
178,cFE458DAbFcFaE7,Werner-Roach,http://nunez.com/,French Southern Territories,Multi-lateral local hardware,2009,Medical Equipment,5892
179,Eae7FDB16CA0BA3,Swanson-Conrad,https://www.lutz.info/,Mali,Monitored full-range knowledge user,2011,Commercial Real Estate,8418
182,7D517b5fE83ccB8,Mcmillan-Hodge,http://gibbs.biz/,Jersey,Vision-oriented scalable archive,2014,Logistics / Procurement,758
184,9c3411cA7aa2aBC,Bender-Thompson,http://www.benton-larson.net/,Argentina,Devolved contextually-based collaboration,2017,Religious Institutions,2974
186,64dD5a69f0E27c0,Proctor and Sons,https://martin.com/,Greenland,Exclusive static array,2017,Alternative Medicine,4052
189,03AbCC19B9102BE,"Thomas, Delacruz and Horne",https://www.bender.com/,Iraq,Multi-lateral hybrid database,2003,Fine Art,2353
193,e6fCdC6a42Af0e5,Rush-Chavez,http://cervantes-chan.com/,Heard Island and McDonald Islands,Open-source 24hour utilization,2020,Fundraising,6839
194,D43f8efc0E256ce,"Joseph, Kelley and Brooks",http://howard.com/,Togo,Right-sized needs-based orchestration,2018,Events Services,4338
195,e15E0b8De9c8592,"Singh, Schneider and Benjamin",https://www.charles.com/,Ethiopia,Future-proofed directional implementation,2016,Writing / Editing,6042
199,bf54Bf3bA0F93Ea,"Wall, Maxwell and Salas",https://www.lara.org/,Guam,Function-based actuating access,2001,Marketing / Advertising / Sales,9382
200,c070d9E5A30BdFE,Stevens Group,https://daniels.com/,Chile,Reverse-engineered needs-based concept,2017,Medical Equipment,8426
201,EA9703aC3EA6b3E,Little-Mcintyre,http://www.moss.com/,Armenia,Sharable impactful instruction set,2015,Broadcast Media,2261
207,c71BfDcB2D15359,Patrick-Mcmillan,https://callahan.biz/,American Samoa,Streamlined logistical projection,2016,Government Administration,2357
213,5Fd09EFf92cEf22,"Gibbs, Rosales and Hendrix",https://www.moran-wolf.com/,Solomon Islands,Grass-roots solution-oriented secured line,2004,Performing Arts,9509
216,d3B7085f8fBDD56,"Frazier, Gamble and Holland",http://www.watts.com/,Holy See (Vatican City State),Digitized zero tolerance concept,2014,Textiles,9285
220,02DE97A012f38DA,Gibson-Frank,http://flynn-decker.biz/,Slovenia,Expanded bi-directional secured line,2011,International Affairs,5792
222,FbB1B439C81c411,"Sims, Gibson and Humphrey",http://palmer.com/,Argentina,Total incremental installation,2011,Fishery,7683
224,6C5eABCeDD43365,Kline-Dunn,https://winters-mcdaniel.com/,Zimbabwe,Exclusive upward-trending access,2009,Restaurants,4182
227,dD9aCf52e3Df9e8,Middleton Inc,https://esparza.com/,Thailand,Synergistic local adapter,2010,Security / Investigations,4598
230,651Bcd2C2BcBf4a,Farley Inc,https://wiggins.com/,United Kingdom,Balanced zero administration policy,2018,Construction,9206
231,E77df7c3BfA06CB,"Whitehead, Salinas and Haley",http://www.carlson.com/,Spain,Managed static core,2002,Photography,3819
234,Fa3c81Fb99Ad5f6,"Rosario, Montoya and Randall",http://www.ayala.com/,Jordan,Assimilated human-resource parallelism,2013,Logistics / Procurement,6231
238,BFB471a965A5E7E,Ingram and Sons,http://baker.org/,Greenland,Re-engineered user-facing support,2006,Higher Education / Acadamia,9822
239,4C4BAEC621e9A2D,Mcconnell-Conner,http://johns-harvey.com/,Bouvet Island (Bouvetoya),Reverse-engineered object-oriented matrices,2018,Airlines / Aviation,4626
241,fcbB87dB3871fCb,Golden Inc,https://austin.info/,Austria,Stand-alone reciprocal toolset,2019,Defense / Space,8513
242,bA3Aa8dE6D96EAF,Harrison-Mullins,https://www.mcintyre.com/,Guadeloupe,Robust web-enabled productivity,2004,Individual / Family Services,1920
245,54858f87816CF51,Walsh LLC,https://shelton.org/,Andorra,Sharable 4thgeneration extranet,2021,Aviation / Aerospace,8761
247,247f25690aF1cA6,Powers Ltd,https://www.ochoa.biz/,Saint Kitts and Nevis,Centralized discrete Graphic Interface,2001,Broadcast Media,37
248,6f8aA19a4CAFcC6,"Herring, Huff and Morse",http://www.chapman.com/,Iran,Persistent upward-trending support,2006,Automotive,1147
250,eFD43ddED47e75f,Moses Ltd,https://haynes-boone.com/,Egypt,Total client-server functionalities,2009,Apparel / Fashion,3930
251,7fA6f83b14BdFEa,Elliott-Cervantes,https://melendez.com/,Palestinian Territory,Down-sized discrete database,2006,Banking / Mortgage,8827
254,E1B08C219a450E9,Adams-Fischer,https://www.barajas-rivas.info/,Poland,Seamless client-server frame,2007,Capital Markets / Hedge Fund / Private Equity,7873
256,1F3361f6C3d5aFd,Nichols-Case,http://www.reynolds.com/,Samoa,User-friendly global knowledge user,2006,Civic / Social Organization,3608
259,bbeC1376AF4b4Cf,Peterson-Cummings,https://www.humphrey-ford.com/,Romania,Multi-lateral multi-tasking leverage,2021,Defense / Space,9094
261,b0CB4CF1FCD6e7C,Bass-Kirby,https://clayton.net/,Niue,Managed modular artificial intelligence,2018,Restaurants,1330
267,7576c09F2e9C71D,"Bowen, Murphy and Mcdonald",http://klein.com/,Bhutan,Intuitive systemic leverage,2004,Computer / Network Security,1457
269,0cc7a6aeA3e1E08,Moreno-Saunders,http://butler.net/,Grenada,Exclusive 6thgeneration instruction set,2017,Computer Games,722
273,3fcD87b685EcA5E,Doyle and Sons,http://rose.biz/,Cook Islands,Self-enabling responsive leverage,2012,Shipbuilding,5067
275,f2F46C2D2cE4AC3,Cherry-Erickson,https://chaney.com/,Qatar,Managed hybrid system engine,2018,Law Enforcement,3126
276,1Ceb4B1D871DdbE,Cummings LLC,https://www.benton-cantu.com/,Congo,Extended heuristic open system,2007,International Trade / Development,1998
281,3bfC4311cbd4F06,Willis PLC,https://snyder-miller.net/,Equatorial Guinea,Robust reciprocal ability,2016,Information Technology / IT,2450
282,2BcA6ec2bdDf23b,"Meyers, Rodgers and Odonnell",http://bauer-mejia.com/,Canada,Profound transitional utilization,2005,Legal Services,7614
283,bF6f9df073fFed5,Giles Group,http://www.hicks-werner.info/,Mexico,Devolved systemic encoding,2012,Construction,8599
284,a1F0b5ABCCff67D,"Williamson, Kim and Luna",https://lucero-riggs.com/,Rwanda,Integrated dynamic approach,2004,Warehousing,6225
287,c988d67BfDDbb20,Hodges-Yu,https://blair.com/,Grenada,Universal encompassing hub,2019,Medical Practice,579
290,6e1CbD3AA2ADD5A,Mata-Ayala,https://www.wall.org/,Bouvet Island (Bouvetoya),Integrated object-oriented Local Area Network,2007,Furniture,8980
296,cfe91BF14ecCa00,Bowers-Mccarthy,http://hester.biz/,Guinea,Distributed upward-trending circuit,2007,International Affairs,6498
297,38E405CD9606A20,Warner and Sons,https://barker-marsh.info/,Venezuela,Function-based foreground structure,2005,Human Resources / HR,3909
306,cC57130E3F0da7c,"Moreno, Caldwell and Estrada",https://graham.com/,Turkey,Future-proofed human-resource intranet,2018,Media Production,9785
311,d39E042AD0FfF7d,"Hatfield, Howe and Serrano",http://www.hubbard.net/,France,Adaptive context-sensitive challenge,2011,Music,4284
315,E2EB5808A37BAeC,Briggs PLC,http://vazquez.com/,Wallis and Futuna,Proactive heuristic data-warehouse,2004,Packaging / Containers,1637
326,Be0446cda1E76fB,Vang-Lee,http://simpson-conrad.biz/,Jordan,Monitored background frame,2004,Music,2955
328,55F8922768b2408,Serrano-Lester,http://www.hinton.biz/,Jersey,Versatile hybrid collaboration,2008,Government Relations,6729
329,030142f9b041Cc8,Roy-Esparza,https://www.mann.org/,Romania,Universal upward-trending implementation,2014,Fundraising,585
331,765DFAcF476Ae6B,Arroyo Ltd,http://francis.com/,Saint Vincent and the Grenadines,Cross-platform modular product,2021,Photography,4931
332,51509cCde1dcDE3,Oconnor Inc,http://www.wolfe.biz/,Bermuda,Down-sized directional conglomeration,2008,Pharmaceuticals,2131
333,4bEdF5fcDD2Ede1,Gross-Miranda,http://mcintosh.com/,Benin,De-engineered systemic monitoring,2008,Computer Hardware,9202
334,48754CaAADeEdBf,"Moore, Garcia and Marshall",http://wilkerson.org/,Timor-Leste,Multi-layered even-keeled benchmark,2001,Plastics,2504
337,dDe84066f1a1DF3,Donaldson-Herring,https://carpenter-pearson.com/,Luxembourg,Ergonomic encompassing benchmark,2021,Judiciary,2808
342,d8EbB2c467C662d,Clayton PLC,http://www.burton-montes.info/,Greece,Intuitive regional neural-net,2004,Public Safety,9233
344,65F0EbDAaE8b87b,"Thomas, Ward and Skinner",https://cantu.com/,Sri Lanka,Exclusive contextually-based hardware,2013,Gambling / Casinos,8309
351,7AAE3aBFAfAb9ea,"Mejia, Downs and Clarke",https://jacobson.com/,New Zealand,Profound object-oriented definition,2012,Graphic Design / Web Design,8416
352,F5AFC3d1fDD75e6,"Peters, Richmond and Clements",https://carr-floyd.net/,Uzbekistan,Balanced bi-directional service-desk,2002,Investment Management / Hedge Fund / Private Equity,7328
353,4c2FdF7dF0a84ee,"Orozco, Huff and Burch",http://hurst-simmons.com/,United States of America,Ergonomic dynamic superstructure,2010,Food Production,135
355,b7ca0e0845A2A5B,Douglas Ltd,https://espinoza-king.com/,Seychelles,Fundamental background open architecture,2017,Internet,851
356,898afceaAbAb4c2,"Lara, Austin and Collier",http://sanders-rowe.biz/,Bolivia,Customizable incremental framework,2006,Broadcast Media,8658
358,1BfEBE923Db8074,Booker-Burnett,http://www.maldonado.com/,Trinidad and Tobago,Automated zero-defect ability,2021,Veterinary,3390
360,bEFb736dd2DfDeB,Hartman Ltd,https://craig-bautista.com/,Iran,Proactive logistical budgetary management,2011,Paper / Forest Products,4730
364,08EF5e6C40Dcfdb,Wilkinson-Wilson,https://www.morales.info/,India,Profit-focused asymmetric architecture,2010,Internet,9067
365,bda07405F47bA3a,Vaughan-Love,http://villegas-hahn.com/,Kiribati,Open-source dynamic model,2008,Management Consulting,5391
366,5eb7C0AD54fc35A,"Glenn, Chase and Ross",http://tate.com/,Mozambique,Vision-oriented interactive database,2018,Machinery,2543
367,BDa8d205549daa6,"Good, Bolton and Hamilton",https://www.zavala.biz/,Jersey,User-centric zero administration challenge,2009,Food / Beverages,251
368,47dB0D67e9e2C16,Case LLC,https://www.james.com/,Tuvalu,Persistent maximized conglomeration,2009,Restaurants,5737
374,b1c64EF6daA7B86,"Briggs, Lynn and Cruz",http://burch-villegas.org/,Equatorial Guinea,Front-line clear-thinking structure,2001,Recreational Facilities / Services,1026
376,a86ED929F1aaCdf,"Travis, Sutton and Arias",https://www.cardenas.com/,Nicaragua,Total scalable array,2006,Arts / Crafts,558
383,5Fec02EBd4CbA24,Sanders Group,https://www.mcclain.com/,Greenland,Business-focused disintermediate paradigm,2008,Philanthropy,835
387,71AC3eF96fb296F,"Leblanc, Lopez and Collins",https://www.mann.net/,Nicaragua,Organic methodical support,2020,Public Safety,6941
401,7aebCcC3eDD31F6,"Hale, Larsen and Hodges",https://www.morton.org/,Lao People's Democratic Republic,Upgradable well-modulated project,2012,Think Tanks,8277
402,132c7A35d5ebFcb,"Lam, Barnett and Murphy",http://mercado-gregory.com/,Egypt,Persevering interactive alliance,2012,Packaging / Containers,4177
404,eBCA6aAdee3C5F7,"Wilkinson, Holloway and Dickson",http://gillespie.biz/,Gibraltar,Visionary bifurcated hardware,2007,Other Industry,2002
406,FcdE03f9Dcc351c,Kline Ltd,https://www.morales.org/,Sudan,Down-sized bi-directional solution,2002,Cosmetics,2320
417,6FDfB331Ec29AAD,Anderson-Peterson,https://www.garrison.com/,Cape Verde,Balanced asymmetric capability,2002,Events Services,9782
418,9bE57f3E4d33e64,Sparks and Sons,https://bridges-white.com/,United States of America,Persevering static implementation,2008,Fundraising,7873
421,Da4E1fEf79c54B2,"Madden, Key and Saunders",https://www.salas.com/,French Guiana,Sharable zero tolerance capacity,2011,Think Tanks,7782
424,8518A85423e3Dd1,"Meyers, Henry and Obrien",http://www.bentley.com/,South Georgia and the South Sandwich Islands,Intuitive static focus group,2015,Translation / Localization,1868
431,2BAbd14b15E6b73,George-Knox,http://www.sullivan-bautista.biz/,Australia,Networked tangible process improvement,2021,Leisure / Travel,29
432,1B6A3057EC71e4a,Mcknight-Randolph,http://gallegos.com/,Sierra Leone,Open-architected local system engine,2013,Architecture / Planning,7733
434,8aEa9A19068f77E,Mccall Ltd,http://www.glover.com/,Tonga,Implemented heuristic toolset,2008,Other Industry,3498
438,AEB4A2fE4EDea5b,"Parker, Rivers and Mcdonald",https://petersen.com/,India,Switchable eco-centric project,2022,Civil Engineering,5518
439,d94d5Af50FbD0d7,Kent Ltd,https://ramos.biz/,Brazil,Ameliorated explicit Graphical User Interface,2021,Government Administration,7918
448,D9aD8Be81CaA4BD,"Beasley, Wiggins and Salazar",https://www.mcdonald-rivers.biz/,Korea,Profound background secured line,2010,Import / Export,7884
451,2F059FbDC95a8e7,"Sanford, Christensen and Callahan",https://www.mcdowell.com/,Micronesia,Re-contextualized neutral info-mediaries,2011,Civil Engineering,4452
457,549Ae67Bee8D5Bb,Williamson-Burton,http://www.nixon.biz/,Ethiopia,Seamless discrete adapter,2001,Computer Networking,9853
458,0C7643a6b76Df07,Hays LLC,https://www.rodgers.net/,Slovakia (Slovak Republic),Intuitive even-keeled synergy,2006,Wireless,3654
459,34AFDBc55FD4c56,Williams Inc,https://www.calhoun-guerrero.com/,Singapore,Centralized local intranet,2004,Food / Beverages,3835
461,CB7cF4DB6456b8A,"Mccoy, Malone and Johns",http://www.briggs.com/,Philippines,Synergistic client-driven artificial intelligence,2013,Oil / Energy / Solar / Greentech,9846
462,B318CC8fC1FD8a9,Briggs-Vega,http://www.sharp-henson.net/,Barbados,Persistent radical complexity,2015,Food / Beverages,5152
463,9DDedAdEcced809,Zamora LLC,https://donaldson.com/,Austria,Secured optimal superstructure,2001,Textiles,2711
466,F7dEDF9a849cd0f,"Mahoney, Mcneil and Bradford",http://www.chen-walker.com/,Aruba,Synergistic logistical frame,2012,Marketing / Advertising / Sales,2835
467,ADCDa64Ca9CfF30,"Mccormick, Harrison and Kramer",https://crosby.com/,Afghanistan,Object-based 6thgeneration productivity,2010,Electrical / Electronic Manufacturing,6506
469,A7a93c9e0e4F4a3,Watson LLC,http://www.andrade.net/,Tokelau,Expanded modular forecast,2002,Hospitality,5413
470,502a24CDF49E1e7,Greer PLC,https://www.charles-ferguson.net/,Faroe Islands,Seamless well-modulated parallelism,2022,Supermarkets,2145
475,f79DeC7Ce34FAed,Gould-Freeman,https://www.howell.net/,Ukraine,Ergonomic coherent task-force,2017,Medical Practice,1028
476,fa58bbdAB66B5d7,"Kemp, Baldwin and Montes",http://pittman.org/,American Samoa,Synergistic tertiary service-desk,2004,Apparel / Fashion,4004
478,7fcfB45d882fF18,"Sanchez, Nolan and Saunders",https://nichols.com/,Botswana,Diverse directional project,2014,Shipbuilding,8148
483,4dE7986D72d4ACA,Mcdonald-Horne,https://www.jordan.biz/,Paraguay,Fundamental exuding matrices,2019,Transportation,4374
486,3a0176f7Ab51c22,"Foster, Obrien and Hodges",http://www.hale.com/,Barbados,Automated dedicated functionalities,2003,Investment Banking / Venture,9182
487,7BBAb85fbfdcEA7,Bowman Ltd,https://www.henry.com/,Bahrain,Pre-emptive web-enabled array,2001,Staffing / Recruiting,4370
488,ccec04b3fE858e3,Booker-Hogan,https://mclean-dorsey.com/,Iceland,Advanced clear-thinking monitoring,2011,Pharmaceuticals,7486
489,A83a4EAA9cc943c,"Barrera, Mcgee and Haynes",http://www.allison.com/,Netherlands,Decentralized exuding website,2003,Individual / Family Services,6156
493,dc8B4DEB7Bb0F14,Curry-Warner,http://www.hooper-duran.com/,Costa Rica,Balanced eco-centric function,2007,Newspapers / Journalism,8106
494,ecC79D0bc5D7f43,"Nicholson, Townsend and Huber",http://lewis.com/,Liberia,Multi-lateral hybrid hub,2007,Government Relations,9232
495,6D2Ea544bb8e68a,Wilkerson and Sons,http://www.frederick.biz/,Gibraltar,Multi-channeled demand-driven toolset,2009,Public Safety,2758
496,01c787e957A3e8C,Berry-Norton,https://www.hooper-cantrell.com/,Cameroon,Open-source real-time benchmark,2010,Construction,4219
497,00DdBda1Ee4609F,"Mills, Baird and Johnston",http://www.deleon.net/,Cambodia,Front-line logistical hub,2001,Luxury Goods / Jewelry,3612
501,C325157dfE064b8,"Roy, Harper and Owens",https://www.wang-saunders.com/,Bahamas,Compatible global Local Area Network,2005,E - Learning,7705
502,aFA5aE1B9A5D7A9,Humphrey Group,https://nelson-beard.org/,New Zealand,Optimized modular definition,2017,Staffing / Recruiting,323
508,37cc0A16ccf5Dd8,Mccall LLC,https://lewis.com/,Mauritius,Inverse eco-centric service-desk,2012,Electrical / Electronic Manufacturing,196
512,B188f2b0Bcb270c,Cruz-Morris,http://www.austin.com/,United States Virgin Islands,Robust eco-centric throughput,2015,Wholesale,541
514,Cf9e92fbcaAB1e4,Lloyd-Lane,http://www.whitehead.org/,Mauritius,Vision-oriented zero tolerance hierarchy,2005,Hospital / Health Care,947
515,4bfe87AdAd8f852,Hardin-Tran,https://barber.biz/,Kenya,De-engineered full-range circuit,2001,Architecture / Planning,8
516,9e3D1F171f572AA,Li and Sons,https://castillo-arnold.com/,Russian Federation,Stand-alone non-volatile toolset,2011,Wireless,9081
521,B19DD71817b8dAb,Guerra LLC,http://www.mercado-wiley.com/,Solomon Islands,Universal 3rdgeneration synergy,2011,Utilities,1201
522,141ba1CCC6463EB,Moody PLC,http://www.cuevas.com/,Ukraine,Upgradable methodical Graphical User Interface,2013,Hospitality,8422
523,336976f5C4FdE9e,"Gallegos, Clements and Wang",http://www.pitts-terry.com/,Denmark,Customer-focused upward-trending encryption,2013,Arts / Crafts,4566
